iter	Passed	Remaining
0	174	174187
1	176	88263
2	177	59093
3	178	44469
4	180	36013
5	182	30170
6	183	25961
7	183	22786
8	187	20628
9	189	18746
10	190	17137
11	192	15808
12	194	14740
13	195	13778
14	198	13003
15	204	12589
16	205	11905
17	206	11288
18	208	10759
19	209	10282
20	210	9832
21	212	9448
22	214	9099
23	219	8944
24	221	8630
25	222	8335
26	223	8057
27	224	7791
28	225	7548
29	232	7526
30	234	7325
31	235	7123
32	236	6927
33	237	6746
34	238	6572
35	239	6403
36	239	6242
37	240	6099
38	242	5969
39	245	5880
40	246	5762
41	247	5640
42	248	5521
43	249	5412
44	250	5306
45	250	5204
46	251	5103
47	252	5007
48	253	4914
49	262	4984
50	263	4896
51	263	4809
52	264	4726
53	265	4647
54	266	4571
55	266	4496
56	267	4424
57	268	4357
58	269	4294
59	271	4254
60	273	4208
61	274	4153
62	275	4101
63	276	4046
64	277	3995
65	278	3940
66	279	3889
67	280	3839
68	280	3790
69	281	3742
70	282	3695
71	283	3649
72	287	3649
73	288	3609
74	289	3573
75	291	3539
76	292	3500
77	293	3464
78	294	3428
79	295	3394
80	296	3358
81	296	3323
82	297	3287
83	298	3260
84	300	3232
85	301	3201
86	302	3175
87	303	3145
88	304	3114
89	305	3085
90	305	3056
91	306	3026
92	307	2997
93	308	2970
94	308	2942
95	309	2915
96	310	2888
97	311	2862
98	317	2892
99	318	2869
100	319	2844
101	320	2819
102	321	2795
103	321	2771
104	322	2748
105	323	2725
106	323	2702
107	324	2680
108	325	2658
109	325	2637
110	327	2619
111	328	2604
112	329	2587
113	330	2568
114	331	2548
115	332	2530
116	332	2510
117	333	2491
118	333	2472
119	334	2454
120	335	2436
121	336	2418
122	336	2401
123	337	2384
124	338	2368
125	339	2352
126	339	2335
127	340	2319
128	345	2335
129	346	2320
130	347	2304
131	348	2289
132	349	2275
133	349	2260
134	350	2245
135	351	2231
136	351	2217
137	352	2203
138	353	2189
139	354	2175
140	354	2162
141	355	2147
142	357	2140
143	358	2133
144	359	2121
145	360	2108
146	361	2095
147	361	2083
148	362	2070
149	363	2058
150	363	2046
151	364	2035
152	365	2023
153	366	2012
154	367	2001
155	367	1989
156	368	1978
157	369	1967
158	369	1956
159	378	1988
160	379	1977
161	380	1967
162	381	1957
163	381	1946
164	382	1936
165	383	1927
166	384	1919
167	385	1910
168	387	1904
169	389	1900
170	390	1892
171	391	1885
172	392	1876
173	393	1866
174	393	1857
175	394	1847
176	395	1840
177	396	1831
178	397	1822
179	398	1814
180	399	1806
181	401	1804
182	403	1799
183	403	1791
184	404	1782
185	405	1774
186	406	1766
187	407	1758
188	407	1750
189	408	1742
190	409	1734
191	410	1727
192	411	1719
193	412	1712
194	412	1704
195	413	1697
196	415	1691
197	417	1689
198	418	1682
199	419	1676
200	420	1669
201	421	1664
202	422	1657
203	423	1651
204	424	1644
205	424	1637
206	425	1631
207	426	1624
208	427	1618
209	428	1612
210	430	1608
211	431	1602
212	431	1595
213	432	1589
214	433	1582
215	434	1576
216	435	1569
217	435	1563
218	436	1556
219	437	1550
220	438	1545
221	439	1539
222	441	1536
223	442	1531
224	442	1525
225	443	1519
226	444	1513
227	445	1507
228	445	1501
229	446	1495
230	447	1490
231	448	1484
232	449	1478
233	450	1473
234	450	1467
235	451	1461
236	452	1455
237	453	1450
238	457	1456
239	458	1451
240	459	1445
241	459	1440
242	460	1434
243	461	1428
244	461	1423
245	462	1417
246	463	1412
247	464	1407
248	464	1402
249	465	1396
250	466	1391
251	467	1386
252	467	1381
253	468	1376
254	470	1373
255	471	1369
256	471	1364
257	472	1359
258	473	1354
259	474	1349
260	475	1345
261	475	1340
262	476	1335
263	477	1330
264	478	1325
265	478	1321
266	479	1316
267	480	1311
268	480	1306
269	481	1302
270	482	1297
271	486	1302
272	487	1298
273	488	1293
274	489	1289
275	489	1284
276	490	1280
277	491	1275
278	492	1271
279	492	1267
280	493	1262
281	494	1258
282	494	1253
283	495	1249
284	496	1245
285	497	1241
286	497	1236
287	499	1235
288	501	1232
289	501	1228
290	502	1225
291	503	1220
292	504	1216
293	505	1212
294	505	1208
295	506	1204
296	507	1200
297	508	1196
298	508	1192
299	509	1189
300	510	1185
301	511	1181
302	511	1177
303	512	1173
304	516	1176
305	517	1173
306	518	1170
307	519	1166
308	520	1163
309	521	1160
310	522	1156
311	522	1152
312	523	1148
313	524	1145
314	525	1141
315	525	1138
316	526	1134
317	527	1131
318	529	1130
319	530	1127
320	531	1124
321	532	1120
322	533	1117
323	533	1113
324	534	1110
325	535	1106
326	536	1103
327	536	1099
328	537	1096
329	538	1093
330	539	1090
331	540	1087
332	541	1083
333	543	1082
334	544	1079
335	544	1076
336	545	1073
337	546	1070
338	547	1067
339	548	1063
340	548	1060
341	549	1057
342	550	1054
343	551	1050
344	551	1047
345	552	1044
346	553	1041
347	554	1038
348	554	1035
349	555	1032
350	556	1028
351	557	1026
352	558	1023
353	559	1020
354	559	1017
355	560	1014
356	561	1011
357	562	1009
358	563	1006
359	564	1003
360	565	1000
361	566	997
362	566	994
363	567	992
364	568	989
365	569	986
366	570	983
367	571	981
368	572	978
369	572	975
370	574	973
371	575	971
372	576	968
373	577	966
374	578	963
375	578	960
376	579	957
377	580	955
378	581	953
379	582	950
380	583	948
381	584	945
382	585	943
383	586	941
384	587	939
385	588	936
386	589	934
387	590	931
388	591	929
389	592	926
390	593	924
391	594	922
392	595	919
393	596	917
394	597	914
395	598	912
396	599	910
397	600	907
398	601	905
399	602	903
400	602	900
401	603	898
402	604	896
403	605	893
404	606	891
405	607	889
406	608	886
407	609	884
408	610	882
409	611	880
410	612	877
411	613	875
412	614	873
413	615	871
414	616	869
415	617	866
416	618	864
417	619	862
418	620	860
419	621	857
420	622	855
421	623	853
422	624	851
423	626	851
424	637	861
425	638	860
426	639	858
427	641	856
428	642	854
429	644	853
430	645	852
431	647	850
432	648	848
433	649	846
434	650	844
435	651	842
436	652	840
437	654	839
438	655	837
439	655	834
440	663	840
441	664	838
442	665	836
443	666	835
444	667	833
445	668	830
446	669	828
447	671	826
448	672	825
449	674	823
450	675	822
451	677	820
452	678	819
453	679	816
454	680	814
455	681	813
456	682	811
457	683	808
458	684	806
459	685	804
460	687	803
461	692	806
462	694	804
463	695	803
464	697	802
465	698	800
466	699	798
467	700	796
468	705	798
469	707	797
470	708	795
471	709	793
472	710	791
473	711	789
474	713	788
475	715	787
476	721	790
477	722	788
478	723	786
479	723	784
480	724	781
481	725	779
482	726	777
483	727	775
484	728	773
485	729	771
486	729	768
487	730	766
488	732	765
489	734	764
490	735	762
491	736	760
492	737	758
493	738	756
494	739	754
495	740	752
496	741	750
497	742	748
498	743	746
499	744	744
500	750	747
501	751	745
502	752	743
503	753	742
504	754	739
505	755	737
506	757	736
507	757	734
508	758	732
509	759	729
510	762	729
511	764	728
512	765	726
513	766	724
514	766	722
515	767	720
516	768	718
517	769	716
518	770	714
519	771	712
520	772	710
521	773	708
522	775	707
523	776	705
524	777	703
525	778	701
526	779	699
527	780	697
528	780	695
529	781	693
530	782	691
531	783	689
532	784	687
533	785	685
534	785	683
535	786	681
536	788	679
537	789	678
538	790	676
539	791	674
540	792	672
541	793	670
542	794	669
543	795	667
544	796	665
545	797	663
546	798	661
547	799	659
548	800	657
549	801	655
550	807	658
551	808	656
552	810	654
553	811	652
554	812	651
555	813	649
556	814	647
557	815	645
558	816	643
559	817	642
560	819	641
561	821	639
562	821	638
563	822	636
564	823	634
565	824	632
566	825	630
567	826	628
568	826	626
569	827	624
570	828	622
571	829	620
572	830	619
573	839	622
574	840	621
575	841	619
576	842	617
577	843	615
578	844	613
579	844	611
580	845	609
581	846	608
582	847	606
583	848	604
584	850	603
585	851	601
586	852	599
587	853	597
588	854	596
589	855	594
590	856	592
591	857	590
592	857	588
593	858	587
594	859	585
595	860	583
596	863	582
597	864	581
598	866	579
599	867	578
600	868	576
601	869	574
602	870	572
603	871	571
604	872	569
605	873	568
606	875	566
607	876	565
608	878	564
609	879	562
610	880	560
611	881	558
612	882	557
613	883	555
614	884	553
615	885	552
616	886	550
617	887	548
618	888	546
619	889	544
620	894	546
621	895	544
622	896	542
623	897	540
624	898	539
625	899	537
626	900	535
627	901	533
628	902	532
629	903	530
630	903	528
631	905	527
632	907	526
633	908	524
634	909	523
635	911	521
636	912	519
637	913	518
638	914	516
639	915	514
640	916	513
641	917	511
642	918	509
643	923	510
644	924	508
645	925	507
646	926	505
647	927	503
648	928	502
649	929	500
650	930	498
651	931	497
652	933	495
653	934	494
654	936	493
655	937	491
656	938	489
657	939	488
658	941	486
659	947	488
660	949	487
661	952	486
662	955	485
663	958	485
664	960	483
665	964	483
666	966	482
667	969	481
668	972	480
669	974	479
670	976	478
671	986	481
672	988	480
673	989	478
674	995	479
675	997	478
676	998	476
677	1000	475
678	1001	473
679	1003	472
680	1004	470
681	1006	469
682	1008	468
683	1011	467
684	1012	465
685	1013	464
686	1015	462
687	1016	461
688	1018	459
689	1025	460
690	1026	459
691	1027	457
692	1028	455
693	1029	454
694	1030	452
695	1031	450
696	1032	448
697	1033	447
698	1034	445
699	1034	443
700	1039	443
701	1040	441
702	1041	440
703	1042	438
704	1043	436
705	1044	434
706	1045	433
707	1046	431
708	1046	429
709	1047	427
710	1048	426
711	1049	424
712	1050	422
713	1052	421
714	1053	419
715	1054	418
716	1055	416
717	1056	414
718	1056	413
719	1057	411
720	1058	409
721	1059	407
722	1060	406
723	1061	404
724	1062	402
725	1062	401
726	1067	400
727	1068	399
728	1069	397
729	1070	395
730	1070	394
731	1071	392
732	1072	390
733	1073	388
734	1073	387
735	1074	385
736	1075	383
737	1076	382
738	1077	380
739	1079	379
740	1080	377
741	1081	376
742	1083	374
743	1084	373
744	1085	371
745	1086	369
746	1087	368
747	1088	366
748	1089	364
749	1089	363
750	1090	361
751	1091	360
752	1096	359
753	1097	357
754	1097	356
755	1098	354
756	1099	352
757	1100	351
758	1101	349
759	1102	348
760	1103	346
761	1104	344
762	1105	343
763	1106	341
764	1107	340
765	1109	338
766	1110	337
767	1111	335
768	1111	333
769	1112	332
770	1113	330
771	1114	329
772	1115	327
773	1116	326
774	1117	324
775	1118	322
776	1119	321
777	1120	319
778	1124	319
779	1125	317
780	1126	315
781	1127	314
782	1128	312
783	1129	311
784	1130	309
785	1131	308
786	1132	306
787	1134	305
788	1134	303
789	1137	302
790	1139	301
791	1140	299
792	1141	297
793	1142	296
794	1143	294
795	1144	293
796	1145	291
797	1146	290
798	1147	288
799	1148	287
800	1150	285
801	1151	284
802	1153	282
803	1154	281
804	1156	280
805	1158	278
806	1159	277
807	1162	276
808	1163	274
809	1165	273
810	1166	271
811	1167	270
812	1169	268
813	1170	267
814	1172	266
815	1173	264
816	1179	264
817	1180	262
818	1181	261
819	1182	259
820	1183	258
821	1184	256
822	1185	254
823	1185	253
824	1186	251
825	1187	250
826	1188	248
827	1190	247
828	1192	245
829	1193	244
830	1194	242
831	1195	241
832	1195	239
833	1196	238
834	1197	236
835	1198	235
836	1199	233
837	1200	232
838	1201	230
839	1202	229
840	1205	227
841	1207	226
842	1208	225
843	1209	223
844	1210	222
845	1211	220
846	1212	218
847	1213	217
848	1214	215
849	1215	214
850	1216	212
851	1217	211
852	1219	210
853	1220	208
854	1221	207
855	1222	205
856	1223	204
857	1223	202
858	1224	201
859	1225	199
860	1227	198
861	1228	196
862	1229	195
863	1231	193
864	1237	193
865	1238	191
866	1239	190
867	1240	188
868	1241	187
869	1242	185
870	1243	184
871	1244	182
872	1245	181
873	1246	179
874	1249	178
875	1250	177
876	1251	175
877	1252	174
878	1254	172
879	1255	171
880	1256	169
881	1257	168
882	1258	166
883	1259	165
884	1260	163
885	1269	163
886	1271	161
887	1272	160
888	1273	158
889	1274	157
890	1275	156
891	1277	154
892	1280	153
893	1280	151
894	1282	150
895	1283	148
896	1284	147
897	1285	145
898	1285	144
899	1286	142
900	1287	141
901	1288	140
902	1289	138
903	1292	137
904	1294	135
905	1295	134
906	1296	132
907	1298	131
908	1299	130
909	1301	128
910	1303	127
911	1304	125
912	1308	124
913	1310	123
914	1313	122
915	1315	120
916	1316	119
917	1318	117
918	1320	116
919	1321	114
920	1322	113
921	1323	111
922	1324	110
923	1325	109
924	1326	107
925	1326	106
926	1327	104
927	1328	103
928	1329	101
929	1330	100
930	1331	98
931	1333	97
932	1334	95
933	1337	94
934	1338	93
935	1339	91
936	1341	90
937	1342	88
938	1343	87
939	1344	85
940	1346	84
941	1347	82
942	1349	81
943	1350	80
944	1351	78
945	1352	77
946	1353	75
947	1354	74
948	1356	72
949	1357	71
950	1361	70
951	1362	68
952	1363	67
953	1365	65
954	1366	64
955	1367	62
956	1368	61
957	1369	60
958	1370	58
959	1371	57
960	1372	55
961	1373	54
962	1374	52
963	1375	51
964	1377	49
965	1378	48
966	1379	47
967	1380	45
968	1381	44
969	1382	42
970	1383	41
971	1384	39
972	1385	38
973	1386	37
974	1389	35
975	1390	34
976	1392	32
977	1392	31
978	1394	29
979	1396	28
980	1397	27
981	1398	25
982	1399	24
983	1400	22
984	1401	21
985	1402	19
986	1404	18
987	1405	17
988	1406	15
989	1407	14
990	1408	12
991	1409	11
992	1410	9
993	1411	8
994	1412	7
995	1413	5
996	1414	4
997	1415	2
998	1418	1
999	1419	0
